username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
urihoresh;2012-07-30 16:58;0;0;"@DistrictOfAris Look what I found: pic.twitter.com/1EwgMMQD";;@DistrictOfAris;;"230089937553326080";https://twitter.com/urihoresh/status/230089937553326080
sandwichantel;2012-07-30 16:58;0;0;"Eating salad.....";;;;"230089918930620416";https://twitter.com/sandwichantel/status/230089918930620416
dneshadh77;2012-07-30 16:58;0;0;"Grey Goose event #ph -d dreamdowntown pic.twitter.com/298HasRn";;;#ph;"230089914505646080";https://twitter.com/dneshadh77/status/230089914505646080
Gidi_Traffic;2012-07-30 16:58;2;0;"#NOTICE @egbafrado64 : @Gidi_Traffic :3rd mainland bridge is open now to the island. It will be closed next Sunday to traffic both ways";;@egbafrado64 @Gidi_Traffic;#NOTICE;"230089914165886976";https://twitter.com/Gidi_Traffic/status/230089914165886976
marcammann;2012-07-30 16:58;0;0;"@schulz_steve https:// developer.apple.com/videos/wwdc/20 12/ …";;@schulz_steve;;"230089909304696834";https://twitter.com/marcammann/status/230089909304696834
CherryBomb515;2012-07-30 16:58;0;0;"Been thinking a lot";;;;"230089903231336449";https://twitter.com/CherryBomb515/status/230089903231336449
Trill_Nice;2012-07-30 16:58;0;0;"@2MUCHFLAVABABY I miss u";;@2MUCHFLAVABABY;;"230089898986708992";https://twitter.com/Trill_Nice/status/230089898986708992
IngridDukevicz;2012-07-30 16:58;0;0;"#15ThingsAboutMyBestfriend she calls me hoe, whore,stupid,alien,IDOIT,cow, I feel loved !";;;#15ThingsAboutMyBestfriend;"230089895731949568";https://twitter.com/IngridDukevicz/status/230089895731949568
bowrll;2012-07-30 16:58;0;0;"@FuzzyDicey lol. Dunno how much use you'll have for it. It shuts down when I plug in my tablet.";;@FuzzyDicey;;"230089895471886337";https://twitter.com/bowrll/status/230089895471886337
__zjxo;2012-07-30 16:58;0;0;"Just finished cooking , ayeee :DD";;;;"230089894574301184";https://twitter.com/__zjxo/status/230089894574301184
cdoncarroll;2012-07-30 16:58;0;0;"I'm at Yankee Stadium for Baltimore Orioles vs. New York Yankees w/ @benjgott http:// 4sq.com/PfDQ46";;@benjgott;;"230089893789986818";https://twitter.com/cdoncarroll/status/230089893789986818
jhodsdon;2012-07-30 16:57;0;0;"Getting my nature on (at Central Park) [pic] — http:// path.com/p/CaQXg";;;;"230089875217604608";https://twitter.com/jhodsdon/status/230089875217604608
metafisix;2012-07-30 16:57;0;0;"What!?!?! (@Statue of Liberty w/ 3 others) http:// 4sq.com/PgWecg";;@Statue;;"230089874433273856";https://twitter.com/metafisix/status/230089874433273856
luckyboy2007;2012-07-30 16:57;0;0;"I'm at TGEC (Teaneck, New Jersey) http:// 4sq.com/OgYgus";;;;"230089873468579840";https://twitter.com/luckyboy2007/status/230089873468579840
sandwichantel;2012-07-30 16:57;0;0;"Wat the f*** mcdonalds -__- ur salad is a salad !!! Dont make is salty by adding chicken and bacon and cheese !!";;;;"230089867122597888";https://twitter.com/sandwichantel/status/230089867122597888
bmcast_;2012-07-30 16:57;0;0;"I'm to far in this game to let go , so let go ...";;;;"230089867017732096";https://twitter.com/bmcast_/status/230089867017732096
aMCLEOUD;2012-07-30 16:57;0;0;"Things change & so do people, it doesn't always happen overnight, but with time it does...";;;;"230089866279530496";https://twitter.com/aMCLEOUD/status/230089866279530496
thesubman;2012-07-30 16:57;1;0;"For lawyers to live my legal career by #WWHD .";;;#WWHD;"230089852782272512";https://twitter.com/thesubman/status/230089852782272512
gregavola;2012-07-30 16:57;0;0;"@jeremyperry get jealous! — Drinking The River by @brooklynbrewery at @brooklynbrewery — http:// untp.it/M6KEjR";;@jeremyperry @brooklynbrewery @brooklynbrewery;;"230089847564533761";https://twitter.com/gregavola/status/230089847564533761
AbuWavy;2012-07-30 16:57;0;0;"@CandiceMontana_ damnnn ur a trooper then";;@CandiceMontana_;;"230089846964752385";https://twitter.com/AbuWavy/status/230089846964752385
Purpleicious;2012-07-30 16:57;0;0;"TRX?? (@Power Pilates New York w/ 3 others) [pic]: http:// 4sq.com/MP7AtH";;@Power;;"230089842715942912";https://twitter.com/Purpleicious/status/230089842715942912
_BleedLOVE;2012-07-30 16:57;0;0;", just ate some dominos , ahh manee ;p loll";;;;"230089840488755201";https://twitter.com/_BleedLOVE/status/230089840488755201
blvmenthal;2012-07-30 16:57;0;0;"Memory fuses, shatters like glass @Upper West Side http:// instagr.am/p/NuWbPeRUjU/";;@Upper;;"230089839398223872";https://twitter.com/blvmenthal/status/230089839398223872
veggiekevin;2012-07-30 16:57;0;0;"lights go up tonight! (@Dao Photography) http:// 4sq.com/Ofurgz";;@Dao;;"230089838815227904";https://twitter.com/veggiekevin/status/230089838815227904
gabriellismaia;2012-07-30 16:57;1;0;"Estou sendo assombrada? Pqp";;;;"230089829772324864";https://twitter.com/gabriellismaia/status/230089829772324864
abresler;2012-07-30 16:57;0;0;"There is either a huge terrorist threat or Obama is coming to Madison Square Park soon-insane Gotham lockdown.";;;;"230089824902737920";https://twitter.com/abresler/status/230089824902737920
ShawneeTaylor;2012-07-30 16:57;0;0;"@tatianafontes smiling my face off!!!";;@tatianafontes;;"230089806535864320";https://twitter.com/ShawneeTaylor/status/230089806535864320
bmcast_;2012-07-30 16:57;0;0;"U just want me cus I'm next";;;;"230089802538704896";https://twitter.com/bmcast_/status/230089802538704896
bgnyer;2012-07-30 16:57;0;0;"@saryahsober well done.";;@saryahsober;;"230089799778852864";https://twitter.com/bgnyer/status/230089799778852864
PotheadMoni;2012-07-30 16:57;1;0;"@PernBig @nayah_xoxo Aint Nobody Flirtin Wit Chuu . She Know You Gotta Small Dick . Thats Not Flirtin";;@PernBig @nayah_xoxo;;"230089789582483458";https://twitter.com/PotheadMoni/status/230089789582483458
do_thisgamer_ho;2012-07-30 16:57;0;0;"...i turn people away from Bulls lbvfs. nobody should put themselves in that horrible position.";;;;"230089783693680640";https://twitter.com/do_thisgamer_ho/status/230089783693680640
Shadowari;2012-07-30 16:57;0;0;"@dan11218 what's your steam id so I can kick your ass in tf2?";;@dan11218;;"230089779713294336";https://twitter.com/Shadowari/status/230089779713294336
pkafka;2012-07-30 16:57;0;0;"@palafo well, sure. But 1: college football supposedly amateur, too. 2: it's not a presidential debate. It's water polo.";;@palafo;;"230089768384466944";https://twitter.com/pkafka/status/230089768384466944
