username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
"BonaRoof;2013-04-28 19:01;0;0;""My mama told me not to eat anything so I won't throw it up"," but I am starving!"";Baltimore"," MD;;;""328690380260392960"";https://twitter.com/BonaRoof/status/328690380260392960",,,,,,,
"FrankenFert;2013-04-28 19:01;0;0;""#BeyondSay"";Baltimore"," MD;;#BeyondSay;""328690356998766592"";https://twitter.com/FrankenFert/status/328690356998766592",,,,,,,,
"ChampagnePharao;2013-04-28 19:00;5;0;""Can't wait for this so called ""lemon squeeze"" next week"," yasssssss honey! #Married2Med"";Baltimore"," MD;;#Married2Med;""328690342750744578"";https://twitter.com/ChampagnePharao/status/328690342750744578",,,,,,,
"_gbabyyyy;2013-04-28 19:00;0;0;""Jordan owe me breakfast"";Garrison"," MD;;;""328690328527839232"";https://twitter.com/_gbabyyyy/status/328690328527839232",,,,,,,,
"Tyler_Grammer;2013-04-28 19:00;0;0;""Phones on 93 when it gets to 100 I'm going to bed"";Edgemere"," MD;;;""328690293899657216"";https://twitter.com/Tyler_Grammer/status/328690293899657216",,,,,,,,
"Tyfrenzy_;2013-04-28 19:00;1;0;""@_trillaxxcam dfl"";Lochearn"," MD;@_trillaxxcam;;""328690293471842304"";https://twitter.com/Tyfrenzy_/status/328690293471842304",,,,,,,,
"ConnorGwin;2013-04-28 19:00;0;0;""@therealjuiicy_a @julllxo oh really what's the last thing you said to me"";Maryland"," USA;@therealjuiicy_a @julllxo;;""328690290099630080"";https://twitter.com/ConnorGwin/status/328690290099630080",,,,,,,,
"sdfnjdskfhsd;2013-04-28 19:00;0;0;""@Casey_XoXo ugh really?"";Baltimore"," MD;@Casey_XoXo;;""328690267383275520"";https://twitter.com/sdfnjdskfhsd/status/328690267383275520",,,,,,,,
"loryonce;2013-04-28 19:00;0;0;""Watching the game."";Baltimore"," MD;;;""328690266619920384"";https://twitter.com/loryonce/status/328690266619920384",,,,,,,,
"MM122333;2013-04-28 19:00;0;0;""â€œ @English111M : Ù„Ù„Ù_ Ù_Ø_Ø§Ù†ÙˆÙ† Ù…Ù† Ù†Ø·Ù‚ Ø_Ø±ÙÅÙ_Ù† F & V ",, Ù…Ù‚Ø·Ø_ ÙÅÙ_Ø¯Ù_Ùˆ Ù_ÙˆØ¶Ø_ Ø·Ø±Ù_Ù‚Ø© Ø§Ù„Ù†Ø·Ù‚ Ù„Ù€ F & V ØŒØŒ ÙˆØ§Ù„ÙÅØ±Ù‚ Ø¨Ù_Ù†Ù‡Ù… ,," http://www. youtube.com/watch?v=XzHIi8 fOnTw&feature=plcp â€_"";Towson"," MD;@English111M;;""328690232193064960"";https://twitter.com/MM122333/status/328690232193064960",,,,
