username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OneSeanS;2011-10-25 22:44;0;0;"We don't protest in Oakland, we riot! #OaklandRiots";Oakland, CA;;#OaklandRiots;"129070964238585856";https://twitter.com/OneSeanS/status/129070964238585856
94102;2011-10-25 22:34;0;0;"San Francisco supervisor wants Occupy SF protest protected http:// bit.ly/vwwXuD via http:// outside.in/94102";Civic Center, San Francisco;;;"129068356459438080";https://twitter.com/94102/status/129068356459438080
DNas;2011-10-25 22:03;0;0;"@mrsLavishLife I don't protest";Oakland, CA;@mrsLavishLife;;"129060633353269249";https://twitter.com/DNas/status/129060633353269249
JustinWebb;2011-10-25 20:08;1;0;"19th/Broadway... Another organized group as protest reinforcements! #ows #occupyOakland "Who's streets? Our streets!" http:// twitpic.com/75v4yw";Oakland, CA;;#ows #occupyOakland;"129031494164418560";https://twitter.com/JustinWebb/status/129031494164418560
julweis;2011-10-25 19:28;0;0;"It's a protest miracle! @SFBART is running - and on time, too!!";Oakland, CA;@SFBART;;"129021507006500864";https://twitter.com/julweis/status/129021507006500864
aspenmayer;2011-10-25 18:49;1;0;"Winning. “ @sfexaminer : SF supervisor @AvalosSF wants #OccupySF protest protected after crackdown at #occupyoakland http:// bit.ly/sAxV0z ”";Excelsior, San Francisco;@sfexaminer @AvalosSF;#OccupySF #occupyoakland;"129011614597918720";https://twitter.com/aspenmayer/status/129011614597918720
Ric0_Guap0;2011-10-25 18:39;1;0;"The occupy protest are futile for the simple fact the revolution will not be televised...";Richmond, CA;;;"129009106873888771";https://twitter.com/Ric0_Guap0/status/129009106873888771
_MattRiley;2011-10-25 18:28;0;0;"@LupeFiasco do you see what's happening at @occupyoakland ? The protest 's been peaceful but cops have not, shooting tear gas & flash grenades";Castro Valley, CA;@LupeFiasco @occupyoakland;;"129006414080385027";https://twitter.com/_MattRiley/status/129006414080385027
SeanaLyn;2011-10-25 18:05;0;0;"@SamSupa on what the protest is on. I dont like them @protests I side with anymore than I like seeing them @things like Westboro protests";The Embarcadero, San Francisco;@SamSupa @protests @things;;"129000677681790976";https://twitter.com/SeanaLyn/status/129000677681790976
pluginres;2011-10-25 16:27;0;0;"@occupyoakland teachers hold sign in protest pic.twitter.com/9UMG3FXR";Oakland, CA;@occupyoakland;;"128975947872485377";https://twitter.com/pluginres/status/128975947872485377
topix_insight;2011-10-25 14:06;0;0;"Arrests at Oakland protest ...Perry wants big changes in taxes,... - http:// bit.ly/uh2FXB #Oakland #California";Oakland, CA;;#Oakland #California;"128940408624525312";https://twitter.com/topix_insight/status/128940408624525312
jrwiese;2011-10-25 13:28;1;0;"Me and @BarackObama at the Keystone XL protest . Here's to hope! #noKXL #cleanenergy #climatechange pic.twitter.com/NpzFJP47";SoMa, San Francisco;@BarackObama;#noKXL #cleanenergy #climatechange;"128930946132082690";https://twitter.com/jrwiese/status/128930946132082690
thewhooligan;2011-10-25 13:07;0;0;"“ @MrG415 : The #OWS protest is in front of the W @while the protest for medical marijuana is a block away. Typical potheads, wrong corner.”";The Haight, San Francisco;@MrG415 @while;#OWS;"128925733652406272";https://twitter.com/thewhooligan/status/128925733652406272
carleighamalin;2011-10-25 12:52;0;0;"At the protest ! pic.twitter.com/rqvu1IuH";South Beach, San Francisco;;;"128921852679688192";https://twitter.com/carleighamalin/status/128921852679688192
dunbar151;2011-10-25 12:48;2;1;"Kudos to the dude with the "USA out of San Francisco" protest banner";South Beach, San Francisco;;;"128920779432800256";https://twitter.com/dunbar151/status/128920779432800256
jrwiese;2011-10-25 12:32;0;0;"#noKXL protest in #SF . Welcoming @BarackObama replaying his past speeches on #climatechange action pic.twitter.com/2kxnGfDS";South Beach, San Francisco;@BarackObama;#noKXL #SF #climatechange;"128916785671061504";https://twitter.com/jrwiese/status/128916785671061504
manueldrod;2011-10-25 12:14;0;0;"Corporate greed protest in San Francisco, I think this part of the Occupy movement. @Bank of America http:// instagr.am/p/Rb5GR/";Downtown, San Francisco;@Bank;;"128912411699847168";https://twitter.com/manueldrod/status/128912411699847168
Slapadelic;2011-10-25 11:17;0;0;"Anti-pipeline protest , pro-cannabis protest , and the wonderful #occupyOBAMAVILLE people on one intersection together - #beautiful #occupySF";SoMa, San Francisco;;#occupyOBAMAVILLE #beautiful #occupySF;"128897909608550401";https://twitter.com/Slapadelic/status/128897909608550401
benmcbride;2011-10-25 06:37;1;0;"#OccupyOakland is looking more like a Housing Authority eviction now rather than a protest .";Berkeley, CA;;#OccupyOakland;"128827518814912512";https://twitter.com/benmcbride/status/128827518814912512
sixwing;2011-10-25 06:28;0;0;"disturbed that I just heard (via traffic report) that the police are clearing out the occupy oakland protest . I'd hoped for better. #ows";Oakland, CA;;#ows;"128825167517450240";https://twitter.com/sixwing/status/128825167517450240
Bordash;2011-10-25 01:56;0;0;"@differentfur did michelle bachmann come back? we all missed out on thy protest .";Inner Richmond, San Francisco;@differentfur;;"128756919971217409";https://twitter.com/Bordash/status/128756919971217409
tigerbeat;2011-10-24 11:08;1;0;"#sfmayor protest SF Neighbor Alliance for @MayorEdLee marching past City Hall http:// flic.kr/p/ayENeX";Civic Center, San Francisco;@MayorEdLee;#sfmayor;"128533355607228416";https://twitter.com/tigerbeat/status/128533355607228416
NationalNurses;2011-10-23 22:11;9;0;"After 2 nurses are arrested @#OccupyChi , nurses union will protest at Mayor Emanuel's offic... http:// trib.in/np0eh6 #nurses";Oakland, CA;@;#OccupyChi #nurses;"128337839606865920";https://twitter.com/NationalNurses/status/128337839606865920
