username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Mr_Lingo;2011-08-08 17:01;0;1;"The Kaiser Chiefs have got a lot to answer for in the morning #londonriots #Bristol #fb";City of Bristol, England;;#londonriots #Bristol #fb;"100718228640251904";https://twitter.com/Mr_Lingo/status/100718228640251904
matthilde;2011-08-08 16:54;0;0;"Going asleep to the sound of helicopters over Bristol #riots";City of Bristol, England;;#riots;"100716492244516865";https://twitter.com/matthilde/status/100716492244516865
Packer991;2011-08-08 16:42;0;0;"Please not Bristol !";City of Bristol, England;;;"100713511570780160";https://twitter.com/Packer991/status/100713511570780160
GuyBenJonesSM;2011-08-08 16:40;0;0;"@megamortis excellent news my friend :) appreciate it if you'd twitpic that to #Bristol calm people down a bit";Bath and North East Somerset, England;@megamortis;#Bristol;"100713098012397568";https://twitter.com/GuyBenJonesSM/status/100713098012397568
davidshawblog;2011-08-08 16:39;0;0;"All these reports of riots in #bristol .. #iblamescotty @Scotty_Murray";South Gloucestershire, England;@Scotty_Murray;#bristol #iblamescotty;"100712651407101952";https://twitter.com/davidshawblog/status/100712651407101952
jonny_boy27;2011-08-08 16:38;0;0;"Chopper out again ... #Bristol";City of Bristol, England;;#Bristol;"100712523304673280";https://twitter.com/jonny_boy27/status/100712523304673280
davidshawblog;2011-08-08 16:11;0;0;"Reports of riots in #bristol appear to be wrong. Don't think anything will kick of here tonight!";South Gloucestershire, England;;#bristol;"100705634164539392";https://twitter.com/davidshawblog/status/100705634164539392
jonny_boy27;2011-08-08 16:05;0;0;"Right, you fucking fuckers, calm the fuck down and go the fuck home. I'd like to think we're better than this #Bristol";City of Bristol, England;;#Bristol;"100704168737636352";https://twitter.com/jonny_boy27/status/100704168737636352
Packer991;2011-08-08 15:56;0;0;"@Vincent_Vaga_ @gemma337 @jonyouens shit! Bristol doesn't need to be as fucking stupid!";City of Bristol, England;@Vincent_Vaga_ @gemma337 @jonyouens;;"100702051465564160";https://twitter.com/Packer991/status/100702051465564160
Packer991;2011-08-08 15:54;0;0;"@jadebruceeee exactly.. Just hope Bristol doesn't follow suit!";City of Bristol, England;@jadebruceeee;;"100701360940531712";https://twitter.com/Packer991/status/100701360940531712
havocsdragon;2011-08-08 15:53;0;0;"@MartinSLewis Keep hearing rumours the riots are spreading to Bristol - seriously hope it's not true - sad times.";City of Bristol, England;@MartinSLewis;;"100701251246895105";https://twitter.com/havocsdragon/status/100701251246895105
jaimelouise86;2011-08-08 15:51;0;0;"“ @kierandelbridge : I THINK ITS STARTING IN BRISTOL !! NOOOOOO!!” r u fucking joking?";City of Bristol, England;@kierandelbridge;;"100700807275614209";https://twitter.com/jaimelouise86/status/100700807275614209
