username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
10038;2011-09-27 08:32;0;0;"Filmmaker Michael Moore Visits Wall Street Protest http:// bit.ly/omHGIp via http:// outside.in/10038";;;;"118709509836386306";https://twitter.com/10038/status/118709509836386306
noahr;2011-09-27 06:57;0;0;"#protest #wallstreet #stray @100 Church St http:// instagr.am/p/OXGi_/";;@100;#protest #wallstreet #stray;"118685809418309632";https://twitter.com/noahr/status/118685809418309632
topix_nyc;2011-09-27 06:44;0;0;"Occupy Wall Street protesters allege police brutality: Protests continued into their 11th day in New York as the... http:// bit.ly/n9A5Lz";;;;"118682316779429890";https://twitter.com/topix_nyc/status/118682316779429890
topix_nyc;2011-09-27 06:40;0;0;"Occupy Wall Street protesters allege police brutality: Protests continued into their 11th day in New York as the... http:// bit.ly/qBUb4Q";;;;"118681308431003648";https://twitter.com/topix_nyc/status/118681308431003648
superbiate;2011-09-27 06:10;0;0;"Chelsea Elliott, Occupy Wall Street Protestor Sprayed by Cop, Tells Us What Happened: http:// bit.ly/qMRbld #occupywallstreet Via @anildash";;@anildash;#occupywallstreet;"118673897024524288";https://twitter.com/superbiate/status/118673897024524288
11433;2011-09-27 04:25;0;0;"How to Get the Media’s Attention at the Occupy Wall Street Protest http:// bit.ly/ouQoHC via http:// outside.in/11433";;;;"118647551367974913";https://twitter.com/11433/status/118647551367974913
10038;2011-09-26 20:52;0;0;"How to Get the Media’s Attention at the Occupy Wall Street Protest http:// bit.ly/pOZs2j via http:// outside.in/10038";;;;"118533457897992192";https://twitter.com/10038/status/118533457897992192
10038;2011-09-26 20:52;0;0;"Michael Moore Joins Wall Street Protest http:// bit.ly/pMrJOh via http:// outside.in/10038";;;;"118533452839653376";https://twitter.com/10038/status/118533452839653376
10038;2011-09-26 17:52;0;0;"Tracey E. Vitchers: Occupy Wall Street, Not As Violent As Reports Claim http:// bit.ly/r4wDAW via http:// outside.in/10038";;;;"118488099423649793";https://twitter.com/10038/status/118488099423649793
10038;2011-09-26 17:52;0;0;"Wall Street Protest Survives Weekend Crackdown http:// bit.ly/qTdSOw via http:// outside.in/10038";;;;"118488098182148097";https://twitter.com/10038/status/118488098182148097
CraigElimeliah;2011-09-26 16:57;0;0;"@umanoid based on that, culturally, India should protest our consumption of cow.";;@umanoid;;"118474375929397248";https://twitter.com/CraigElimeliah/status/118474375929397248
claraleopard;2011-09-26 16:50;0;0;"#protest #NYC #tourist @World Trade Center - Tower 2 http:// instagr.am/p/OTymi/";;@World;#protest #NYC #tourist;"118472490929491968";https://twitter.com/claraleopard/status/118472490929491968
imRyanElizabeth;2011-09-26 16:37;0;0;"The wall street protestors smell absolutely disgusting... I'm going to protest them until they start showering";;;;"118469187017506818";https://twitter.com/imRyanElizabeth/status/118469187017506818
oweniverson;2011-09-26 16:35;0;0;"I'm at Occupy Wall Street (broadway, beaver, New York) http:// 4sq.com/qHF0L4";;;;"118468816366874624";https://twitter.com/oweniverson/status/118468816366874624
DarylLang;2011-09-26 16:02;2;0;"The protest stopped at the 9/11 Memorial for a moment of silence. Now back to the encampment, apparently. #OccupyWallStreet #takewallstreet";;;#OccupyWallStreet #takewallstreet;"118460521736450049";https://twitter.com/DarylLang/status/118460521736450049
11378;2011-09-26 15:54;0;0;"PHOTOS: Occupy Wall Street Protesters Dig In As Tensions Rise With NYPD http:// bit.ly/pE8siR via http:// outside.in/11378";;;;"118458393093611520";https://twitter.com/11378/status/118458393093611520
11222;2011-09-26 15:54;0;0;"PHOTOS: Occupy Wall Street Protesters Dig In As Tensions Rise With NYPD http:// bit.ly/p6hie1 via http:// outside.in/11222";;;;"118458387863310337";https://twitter.com/11222/status/118458387863310337
11101;2011-09-26 15:54;0;0;"PHOTOS: Occupy Wall Street Protesters Dig In As Tensions Rise With NYPD http:// bit.ly/mOy6Ta via http:// outside.in/11101";;;;"118458382620434432";https://twitter.com/11101/status/118458382620434432
10038;2011-09-26 15:54;0;0;"PHOTOS: Occupy Wall Street Protesters Dig In As Tensions Rise With NYPD http:// bit.ly/pNzUYF via http:// outside.in/10038";;;;"118458367571275776";https://twitter.com/10038/status/118458367571275776
10027;2011-09-26 15:54;0;0;"Tracey E. Vitchers: Occupy Wall Street, Not As Violent As Reports Claim http:// bit.ly/qio8rg via http:// outside.in/10027";;;;"118458358096347136";https://twitter.com/10027/status/118458358096347136
10027;2011-09-26 15:54;0;0;"PHOTOS: Occupy Wall Street Protesters Dig In As Tensions Rise With NYPD http:// bit.ly/mRM3qR via http:// outside.in/10027";;;;"118458356313763840";https://twitter.com/10027/status/118458356313763840
10001;2011-09-26 15:54;0;0;"Anonymous Outs NYPD Officer Who Pepper-Sprayed Occupy Wall Street Protesters http:// bit.ly/nFKmkb via http:// outside.in/10001";;;;"118458349384777728";https://twitter.com/10001/status/118458349384777728
DarylLang;2011-09-26 15:40;0;0;"Big, loud protest on Bridge St, heading north on Broadway. #OccupyWallStreet #takewallstreet http:// twitpic.com/6r4oxo";;;#OccupyWallStreet #takewallstreet;"118454896243650560";https://twitter.com/DarylLang/status/118454896243650560
DarylLang;2011-09-26 15:34;0;0;"Protest march approaching Broad and Stone Street. #OccupyWallStreet #TakeWallStreet http:// twitpic.com/6r4mbs";;;#OccupyWallStreet #TakeWallStreet;"118453321165049856";https://twitter.com/DarylLang/status/118453321165049856
Clarknt67;2011-09-26 15:25;1;0;"Where is #occupywallstreet protest right now?";;;#occupywallstreet;"118451272058802176";https://twitter.com/Clarknt67/status/118451272058802176
juvihrl;2011-09-26 15:09;0;0;"I think the protest is somewhere else a few blocks away which is a real fail on their part.";;;;"118447112370388993";https://twitter.com/juvihrl/status/118447112370388993
RADPITT_;2011-09-26 14:27;0;0;"Can I start a protest in front of a protest , to make all protesting illegal?";;;;"118436582477938688";https://twitter.com/RADPITT_/status/118436582477938688
RADPITT_;2011-09-26 14:25;0;1;"Ugh, its 2011, why the fuck do we still protest ? Isn't there an app for that already?";;;;"118436003894673408";https://twitter.com/RADPITT_/status/118436003894673408
10036;2011-09-26 13:55;0;0;"Caveat Emptor, Indeed! Occupy Wall Street Disrupts Sotheby’s Auction http:// bit.ly/ne9Cb3 via http:// outside.in/10036";;;;"118428571185328128";https://twitter.com/10036/status/118428571185328128
joshuacstephens;2011-09-26 13:29;0;1;"Me & @eddiepepitone @Occupy Wall Street! http:// instagr.am/p/OS0g5/";;@eddiepepitone @Occupy;;"118421864950411264";https://twitter.com/joshuacstephens/status/118421864950411264
Leila_MA;2011-09-26 12:43;0;0;"Down at #OccupyWallStreet feels like less of a protest than an arts and crafts fayre right now";;;#OccupyWallStreet;"118410389137530880";https://twitter.com/Leila_MA/status/118410389137530880
10038;2011-09-26 11:26;0;0;"NEW YORK CITY: More Video Of NYPD Brutality At Wall Street Protest http:// bit.ly/qqBvsG via http:// outside.in/10038";;;;"118391016410714113";https://twitter.com/10038/status/118391016410714113
10028;2011-09-26 11:26;0;0;"Caveat Emptor, Indeed! Occupy Wall Street Disrupts Sotheby’s Auction http:// bit.ly/oR2mqA via http:// outside.in/10028";;;;"118391009741770752";https://twitter.com/10028/status/118391009741770752
07083;2011-09-26 11:26;0;0;"The Crackdown: " Occupy Wall Street" Protesters Face Arrest, Use Of Force http:// bit.ly/pHdIW5 via http:// outside.in/07083";;;;"118390919417434112";https://twitter.com/07083/status/118390919417434112
leiaj;2011-09-26 11:16;1;0;"@ronen funny you say this because when I saw the protest go past me and my friend were like "what are they even protesting?" there were like";;@ronen;;"118388378147360768";https://twitter.com/leiaj/status/118388378147360768
