username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
"DrKenLovelace;2014-08-11 05:49;0;0;""Therefore I will boast all the more gladly of my weaknesses"," so that the power of Christ may rest upon me.â€ù"";Affton"," MO;;;""498813487032725505"";https://twitter.com/DrKenLovelace/status/498813487032725505",,,,,,,
"MrAntike184;2014-08-11 05:49;0;0;""@Alexa_AP08 xD you start the RP lol"";Granite City"," IL;@Alexa_AP08;;""498813457085792257"";https://twitter.com/MrAntike184/status/498813457085792257",,,,,,,,
"CupcakexGlitter;2014-08-11 05:49;0;1;""@elementsforming uuuuh I dont like Miley. I LOVE Miley. Lol"";Florissant"," MO;@elementsforming;;""498813399958949889"";https://twitter.com/CupcakexGlitter/status/498813399958949889",,,,,,,,
"KennI_Lasha;2014-08-11 05:49;0;0;""Gotta b at work at 230 lord"";Bellefontaine Neighbors"," MO;;;""498813379579228160"";https://twitter.com/KennI_Lasha/status/498813379579228160",,,,,,,,
"leisazigman;2014-08-11 05:49;11;0;""#ferguson mayor ON OFFICER: I'm sure he's devastated. He cares about community. City will have no contact with him. @ksdknews"";Clayton"," MO;@ksdknews;#ferguson;""498813334565957633"";https://twitter.com/leisazigman/status/498813334565957633",,,,,,,,
"BillionNeeded;2014-08-11 05:48;0;0;""Llf.. Why they Pastor using a bottle of water as his Microphone?"";Maryland Heights"," MO;;;""498813185189613569"";https://twitter.com/BillionNeeded/status/498813185189613569",,,,,,,,
"Kasey_Lucas;2014-08-11 05:47;0;0;""I'm at Starbucks in Saint Charles"," MO https://www. swarmapp.com/kasey_lucas/ch eckin/53e8bb66498e04677b36ea32?s=qnAOtflRhhda-Yo92zymPEsmq1I&ref=tw â€_"";St Charles"," MO;;;""498812974149427200"";https://twitter.com/Kasey_Lucas/status/498812974149427200",,,,,,,
"leisazigman;2014-08-11 05:47;2;1;""#Ferguson mayor ""Most threats have been from out of state... disheartening"," but haven't heard anything local."" @ksdknews"";Clayton"," MO;@ksdknews;#Ferguson;""498812962216636417"";https://twitter.com/leisazigman/status/498812962216636417",,,,,,,
"paulthornton094;2014-08-11 05:47;0;1;""The world needs more positive people."";Overland"," MO;;;""498812935805083648"";https://twitter.com/paulthornton094/status/498812935805083648",,,,,,,,
"BillionNeeded;2014-08-11 05:47;0;0;""They hit DTLR.. HIBBIT Sports nd a lot of other stores! Smh"";Maryland Heights"," MO;;;""498812856792395776"";https://twitter.com/BillionNeeded/status/498812856792395776",,,,,,,,
"KennI_Lasha;2014-08-11 05:47;0;0;""Bout to drink sum tea and relax"";Bellefontaine Neighbors"," MO;;;""498812854066491392"";https://twitter.com/KennI_Lasha/status/498812854066491392",,,,,,,,
"TyPacino_;2014-08-11 05:47;0;0;""Im already late for school ?"";St Louis"," MO;;;""498812828837367808"";https://twitter.com/TyPacino_/status/498812828837367808",,,,,,,,
"MrAntike184;2014-08-11 05:46;0;0;""@Alexa_AP08 yeah no or yes lets RP?"";Granite City"," IL;@Alexa_AP08;;""498812783828676608"";https://twitter.com/MrAntike184/status/498812783828676608",,,,,,,,
"KennI_Lasha;2014-08-11 05:46;0;0;""Up tired as hell"";Bellefontaine Neighbors"," MO;;;""498812732809150464"";https://twitter.com/KennI_Lasha/status/498812732809150464",,,,,,,,
"josefrealty;2014-08-11 05:46;0;0;""I'm at @24HourFitness in Chesterfield"," MO https://www. swarmapp.com/josefrealty/ch eckin/53e8bb0b498eec812d7b7d91?s=tMyPJgym3Fqo0yvz97GAf4Gw4pg&ref=tw â€_"";Chesterfield"," MO;@24HourFitness;;""498812625820872704"";https://twitter.com/josefrealty/status/498812625820872704",,,,,,,
"MrAntike184;2014-08-11 05:46;0;0;""@Alexa_AP08 no?"";Granite City"," IL;@Alexa_AP08;;""498812614026485760"";https://twitter.com/MrAntike184/status/498812614026485760",,,,,,,,
"BillionNeeded;2014-08-11 05:46;0;0;""Dese niggaz in St. Louis wanna Burn dow QuickTrips nd shit!"";Maryland Heights"," MO;;;""498812604752461827"";https://twitter.com/BillionNeeded/status/498812604752461827",,,,,,,,
"Lautergeist;2014-08-11 05:46;0;0;""While @NAACP @TheRevAl & #BlackPanthers are in town"," maybe they could protest #KnockOutGame #BlackOnWhiteViolence @jallman971 @971FMTalk"";Chesterfield"," MO;@NAACP @TheRevAl @jallman971 @971FMTalk;#BlackPanthers #KnockOutGame #BlackOnWhiteViolence;""498812598088118272"";https://twitter.com/Lautergeist/status/498812598088118272",,,,,,,
"megaaanellis;2014-08-11 05:45;0;1;""the best birthday gift i could have ever received was this new job at goddard. can't wait for my first day today"";St Peters"," MO;;;""498812505804660736"";https://twitter.com/megaaanellis/status/498812505804660736",,,,,,,,
